Price,High,Low,Open,Date,Volumefrom,Volumeto
1.64,1.71,1.23,1.31,2018-01-18,468371959.57,695982226.79
1.31,1.38,0.8747,1.15,2018-01-17,839914218.55,929665358.44
1.15,1.68,0.8696,1.66,2018-01-16,770222609.34,970771226.39
1.66,1.88,1.63,1.83,2018-01-15,100124094.28,178452052.26
1.83,2.0,1.76,2.0,2018-01-14,100450060.49,185909079.46
2.0,2.1,1.96,2.02,2018-01-13,95828651.08,194844832.58
2.02,2.16,1.81,1.93,2018-01-12,214634397.57,429715482.31
1.93,2.24,1.56,1.95,2018-01-11,536026777.35,1018947968.35
1.95,2.13,1.63,2.06,2018-01-10,402051172.64,761397002.79
2.06,2.5,1.92,2.41,2018-01-09,218068486.61,480316287.77
2.41,2.78,1.93,2.78,2018-01-08,219906513.78,535353427.56
2.78,2.82,2.58,2.65,2018-01-07,100073167.69,272359641.4
2.65,2.85,2.46,2.51,2018-01-06,149254652.23,398736590.78
2.51,3.05,2.24,2.73,2018-01-05,381017659.29,1002020058.28
2.73,3.29,2.58,2.73,2018-01-04,438911741.95,1299128128.22
2.73,2.85,2.15,2.19,2018-01-03,387508545.77,986250815.39
2.19,2.21,1.89,2.05,2018-01-02,201990621.19,418605330.49
2.05,2.09,1.81,1.98,2018-01-01,120735961.19,232757444.9
1.98,2.09,1.61,1.86,2017-12-31,275180874.46,514273018.98
1.86,2.44,1.77,1.93,2017-12-30,756289917.24,1565228735.26
1.93,1.97,1.25,1.26,2017-12-29,664919154.54,1092825146.85
1.26,1.31,1.1,1.21,2017-12-28,286904797.52,346845252.53
1.21,1.28,1.07,1.07,2017-12-27,366816779.57,426150824.52
1.07,1.09,0.9712,0.9805,2017-12-26,130476216.13,133293079.02
0.9805,1.02,0.9236,0.9782,2017-12-25,102065500.75,99675911.72
0.9782,1.01,0.8253,1.01,2017-12-24,222169274.19,205506213.42
1.01,1.07,0.9263,1.0,2017-12-23,223612410.71,228659274.81
1.0,1.24,0.6203,1.12,2017-12-22,932168841.54,899821406.17
1.12,1.13,0.7128,0.7144,2017-12-21,835987496.76,791256236.25
0.7144,0.7426,0.6568,0.7344,2017-12-20,248357989.89,175104956.82
0.7344,0.8402,0.7019,0.7558,2017-12-19,321260039.22,247300691.51
0.7558,0.7912,0.6651,0.7118,2017-12-18,301537624.35,219544767.16
0.7114,0.7524,0.7016,0.7397,2017-12-17,163695151.68,119074616.08
0.7397,0.8122,0.7177,0.7375,2017-12-16,294336071.67,222751214.53
0.7377,0.8523,0.6183,0.8507,2017-12-15,677790212.11,505913400.23
0.8507,0.8809,0.4527,0.4582,2017-12-14,1068868645.03,728341477.02
0.4584,0.5006,0.3388,0.3555,2017-12-13,841256146.25,377803204.21
0.3555,0.4369,0.2442,0.2451,2017-12-12,519231859.46,161843160.58
0.2451,0.247,0.227,0.2271,2017-12-11,124361471.49,29876877.69
0.2271,0.2366,0.2223,0.2353,2017-12-10,121544984.41,27890523.48
0.2353,0.2446,0.2295,0.2337,2017-12-09,164407089.86,39097628.35
0.2337,0.253,0.2005,0.2037,2017-12-08,389258800.93,90113337.27
0.2035,0.2197,0.2009,0.2182,2017-12-07,208391038.79,43961313.33
0.2182,0.234,0.2099,0.2337,2017-12-06,204253744.97,46216356.3
0.2337,0.2469,0.2305,0.2462,2017-12-05,123300335.79,29479195.06
0.2462,0.2486,0.2354,0.2449,2017-12-04,88846578.17,21652453.14
0.2449,0.2586,0.2354,0.2441,2017-12-03,114743980.4,28536941.06
0.2441,0.2494,0.2403,0.2473,2017-12-02,72003762.03,17678347.76
0.2473,0.2511,0.2259,0.2369,2017-12-01,130581576.51,31411210.27
0.2356,0.2468,0.22,0.2356,2017-11-30,153338852.47,35749407.85
0.2353,0.2797,0.2128,0.2796,2017-11-29,286283537.59,73288773.49
0.2795,0.2806,0.2467,0.247,2017-11-28,243886406.42,63810022.09
0.247,0.2497,0.2403,0.2445,2017-11-27,104909706.63,25793046.5
0.245,0.2492,0.2412,0.2489,2017-11-26,45849658.62,11230763.66
0.2488,0.2531,0.2394,0.241,2017-11-25,89796382.42,22171520.3
0.241,0.2443,0.2312,0.24,2017-11-24,101011254.5,24064579.25
0.24,0.2503,0.2357,0.2385,2017-11-23,126134646.49,30606231.45
0.2385,0.2417,0.2317,0.2321,2017-11-22,88143638.56,20858762.58
0.2318,0.2444,0.2292,0.2409,2017-11-21,105169636.84,24827598.13
0.2406,0.2462,0.2315,0.2322,2017-11-20,105382518.94,25292860.72
0.2321,0.237,0.2231,0.2275,2017-11-19,88098310.06,20275409.23
0.2275,0.2293,0.2191,0.2239,2017-11-18,69817134.52,15637626.61
0.2239,0.2376,0.2174,0.227,2017-11-17,138204506.25,31261061.68
0.2269,0.2809,0.2058,0.2083,2017-11-16,391424404.27,93968360.41
0.2083,0.2101,0.2037,0.205,2017-11-15,60047732.63,12422123.14
0.205,0.2103,0.1995,0.2001,2017-11-14,59546806.84,12145669.26
0.2001,0.2001,0.1906,0.1915,2017-11-13,82216620.66,16156188.48
0.1915,0.2094,0.1861,0.2092,2017-11-12,212638415.64,41553234.57
0.2092,0.2147,0.2016,0.2033,2017-11-11,76561311.72,15862481.91
0.2033,0.2185,0.1988,0.2154,2017-11-10,94828370.41,19761606.63
0.2154,0.2218,0.2126,0.2167,2017-11-09,79735606.88,17384153.32
0.2167,0.2235,0.2031,0.2055,2017-11-08,100569675.08,21290259.15
0.2055,0.2065,0.1993,0.2013,2017-11-07,39602621.81,8001067.76
0.2013,0.2067,0.1981,0.1997,2017-11-06,43252538.69,8747823.33
0.1997,0.2033,0.1984,0.2014,2017-11-05,26944763.85,5405398.96
0.2015,0.2061,0.2001,0.2059,2017-11-04,30140417.31,6104463.98
0.2059,0.2263,0.1961,0.2003,2017-11-03,147015576.65,30726742.27
0.2003,0.2065,0.1755,0.191,2017-11-02,103212717.82,19532362.03
0.1903,0.2006,0.1896,0.1975,2017-11-01,47448613.26,9269250.28
0.1975,0.2034,0.1975,0.2024,2017-10-31,27043667.25,5437568.73
0.2024,0.2044,0.2001,0.2015,2017-10-30,21614281.66,4373000.14
0.2015,0.2053,0.1966,0.1981,2017-10-29,27095264.56,5441321.33
0.1982,0.2008,0.1974,0.2001,2017-10-28,13367326.6,2660885.76
0.2001,0.2027,0.198,0.2019,2017-10-27,16756105.46,3356076.05
0.2019,0.2046,0.1999,0.2023,2017-10-26,24890547.05,5034908.89
0.2023,0.2047,0.1961,0.2038,2017-10-25,64768022.21,12952868.83
0.2038,0.2169,0.183,0.1917,2017-10-24,144678217.42,29407955.56
0.1917,0.202,0.1845,0.2015,2017-10-23,72657922.35,13886013.24
0.2014,0.2114,0.1954,0.2097,2017-10-22,65158096.72,13202451.55
0.2097,0.2107,0.1971,0.2081,2017-10-21,72829202.57,14731305.39
0.2082,0.2234,0.2056,0.2141,2017-10-20,93321866.42,19864451.41
0.2139,0.232,0.2064,0.217,2017-10-19,132484676.56,28646038.24
0.217,0.2344,0.2016,0.2295,2017-10-18,160949343.77,34877987.83
0.2295,0.2654,0.214,0.2579,2017-10-17,205001981.95,49254939.22
0.2579,0.2977,0.2523,0.2652,2017-10-16,257302479.65,70795786.78
0.2652,0.2691,0.2482,0.2556,2017-10-15,80657865.37,20965294.87
