Price,High,Low,Open,Date,Volumefrom,Volumeto
336.58,341.93,318.35,338.81,2017-10-15,465975.53,154046243.07
338.81,347.14,333.83,336.83,2017-10-14,345894.16,118217861.14
336.83,347.7,298.29,302.89,2017-10-13,994746.99,325130767.69
302.89,308.77,301.65,302.86,2017-10-12,426811.81,130357482.76
302.86,305.12,297.18,298.46,2017-10-11,223439.16,67246675.44
298.46,305.95,292.28,296.95,2017-10-10,268423.2,80475858.44
296.95,310.14,286.52,309.49,2017-10-09,471243.74,140753204.93
309.49,313.52,308.13,311.26,2017-10-08,217688.05,67801593.66
311.26,314.12,304.63,308.33,2017-10-07,269276.51,83321062.1
308.33,309.0,293.75,294.99,2017-10-06,265830.27,80140194.73
294.99,297.47,286.73,291.68,2017-10-05,202892.42,59328523.56
291.68,295.57,288.56,291.81,2017-10-04,231043.01,67580849.1
291.81,299.92,286.86,296.81,2017-10-03,302101.3,88276884.19
296.81,304.13,293.34,303.95,2017-10-02,291646.77,87144370.37
303.95,304.79,295.44,302.77,2017-10-01,220320.92,66161942.23
302.77,305.91,292.32,292.58,2017-09-30,274718.7,82819424.09
292.58,303.54,279.79,302.77,2017-09-29,651910.85,189289895.65
302.77,310.24,298.18,309.97,2017-09-28,381991.35,116142194.54
309.97,312.64,287.83,288.64,2017-09-27,519371.43,155862803.45
288.64,295.89,287.01,294.89,2017-09-26,266603.9,77729398.68
294.89,297.01,282.48,282.6,2017-09-25,431148.81,125825077.84
282.6,294.54,276.25,286.14,2017-09-24,455005.16,129812958.5
286.14,286.72,259.58,262.94,2017-09-23,403931.95,111790766.56
262.94,270.74,254.28,257.77,2017-09-22,491176.93,128332019.33
257.77,287.13,252.22,283.56,2017-09-21,794785.87,213821119.8
283.56,293.74,277.72,283.0,2017-09-20,416768.41,119360306.75
283.0,299.91,275.94,297.53,2017-09-19,736458.34,211173075.81
297.53,300.69,258.36,258.4,2017-09-18,1101869.95,316944028.29
258.4,265.78,239.98,254.49,2017-09-17,509132.86,129073620.3
254.49,272.43,245.74,259.57,2017-09-16,829893.83,213735353.14
259.57,267.7,200.75,223.14,2017-09-15,2545560.43,601118554.63
223.14,280.65,222.06,275.84,2017-09-14,1840149.11,448360655.12
275.84,294.39,257.16,294.1,2017-09-13,1204287.66,328829086.33
294.1,316.38,285.75,297.95,2017-09-12,706469.01,212949898.74
297.95,308.3,288.6,299.21,2017-09-11,502277.48,149130023.67
299.21,305.76,280.7,303.79,2017-09-10,612531.96,179819553.2
303.79,309.07,293.71,306.72,2017-09-09,423738.08,127930167.28
306.72,335.39,293.12,335.37,2017-09-08,997877.33,307973324.88
335.37,338.92,323.36,338.92,2017-09-07,439263.99,145609934.39
338.92,341.77,317.82,317.94,2017-09-06,624432.7,207751167.29
317.94,324.37,275.97,303.7,2017-09-05,947781.26,285969365.42
303.7,352.45,279.95,352.45,2017-09-04,1691892.31,518097340.34
352.45,370.5,336.37,351.03,2017-09-03,627030.97,220213614.9
351.03,392.04,328.87,391.42,2017-09-02,1101764.65,392672123.64
391.42,395.3,386.71,388.33,2017-09-01,491601.26,192664622.13
388.33,389.64,380.89,383.86,2017-08-31,335126.62,129260777.23
383.86,390.64,367.41,372.35,2017-08-30,651250.58,247280361.72
372.35,375.18,347.24,347.66,2017-08-29,674865.15,245077133.04
347.66,350.5,335.41,347.88,2017-08-28,452449.22,155518324.93
347.88,347.92,332.8,332.86,2017-08-27,336374.92,113661914.42
332.86,334.7,325.9,330.06,2017-08-26,214806.33,70828266.3
330.06,337.24,324.69,325.28,2017-08-25,428182.32,142040413.42
325.28,328.65,315.94,317.4,2017-08-24,352256.9,113467892.46
317.4,325.1,313.16,313.37,2017-08-23,428625.31,136793702.05
313.37,329.39,293.09,321.85,2017-08-22,823697.62,255666010.62
321.85,345.44,294.93,298.2,2017-08-21,1147950.71,371320147.37
298.2,298.78,288.48,293.02,2017-08-20,293661.68,86214711.32
293.02,298.79,283.65,292.62,2017-08-19,458296.55,133331931.88
292.62,306.52,287.17,300.3,2017-08-18,523133.9,155333057.71
300.3,310.43,298.19,301.38,2017-08-17,466305.76,141776697.36
301.38,303.29,280.66,286.52,2017-08-16,487956.1,143590085.64
286.52,299.71,271.38,299.16,2017-08-15,735205.53,209502360.98
299.16,306.3,294.74,296.62,2017-08-14,461968.26,138516552.98
296.62,308.87,288.04,308.02,2017-08-13,709286.89,209757139.86
308.02,319.14,303.71,309.32,2017-08-12,634507.5,198463746.02
309.32,310.36,295.94,298.28,2017-08-11,486177.48,146799311.1
298.28,310.18,289.22,295.24,2017-08-10,576082.58,173781086.18
295.28,314.75,279.1,296.51,2017-08-09,1476327.93,439031586.16
