Price,High,Low,Open,Date,Volumefrom,Volumeto
13333.93,14979.96,12825.95,14920.36,2018-01-11,156768.22,2151876800.19
14919.49,14919.49,13450.54,14468.09,2018-01-10,142303.9,2025083791.13
14468.5,15390.28,14221.55,14976.17,2018-01-09,99730.65,1486802326.34
14976.17,16302.92,13902.31,16228.26,2018-01-08,142453.96,2166366561.33
16228.16,17184.81,15791.13,17174.5,2018-01-07,79006.37,1309532650.11
17172.3,17252.85,16286.57,16954.76,2018-01-06,83927.99,1412703790.73
16954.78,17126.95,14832.36,15180.08,2018-01-05,141960.42,2283988962.92
15180.08,15408.66,14244.67,15156.49,2018-01-04,110968.82,1656714736.62
15156.62,15435.01,14579.71,14754.09,2018-01-03,106543.39,1604206990.04
14754.13,15306.13,12934.16,13444.88,2018-01-02,137732.17,1956783037.35
13444.88,13921.53,12877.67,13850.49,2018-01-01,78425.21,1057521524.42
13850.4,14241.82,12359.43,12532.38,2017-12-31,111270.55,1492142483.58
12531.52,14461.46,11962.09,14392.14,2017-12-30,182065.44,2387311023.42
14392.57,15109.81,13951.08,14398.45,2017-12-29,118874.63,1733583750.2
14398.7,15505.51,13466.07,15416.34,2017-12-28,170366.63,2425912717.56
15416.64,16514.59,14534.66,15757.02,2017-12-27,138705.28,2162831128.76
15756.56,16094.67,13748.49,13830.19,2017-12-26,143135.26,2198577125.17
13833.49,14467.43,13010.71,13789.95,2017-12-25,107475.98,1487888106.52
13789.95,14413.72,12166.45,14396.63,2017-12-24,182417.29,2428437693.16
14396.46,15493.23,13356.07,13664.97,2017-12-23,170169.39,2491903154.48
13664.97,15823.72,10875.71,15632.12,2017-12-22,466980.6,6245731508.4
15632.12,17301.83,14952.98,16461.09,2017-12-21,163735.02,2619295475.76
16461.97,17813.6,15642.69,17521.73,2017-12-20,227676.13,3791752510.78
17523.7,19021.97,16812.8,18971.19,2017-12-19,174543.37,3136709262.09
18972.32,19221.1,18114.42,19065.71,2017-12-18,139251.39,2597510049.89
19065.71,19870.62,18750.91,19346.6,2017-12-17,117408.38,2264650369.71
19345.49,19587.7,17318.54,17594.08,2017-12-16,112173.97,2078806368.79
17604.85,17987.03,16442.2,16467.91,2017-12-15,153651.15,2682351213.91
16467.91,16941.08,16023.64,16286.82,2017-12-14,107918.03,1773813863.46
16286.82,17267.96,15669.86,17083.9,2017-12-13,155407.35,2576055941.69
17083.9,17560.65,16254.53,16733.29,2017-12-12,132846.57,2246138895.89
16732.47,17399.18,15024.56,15060.45,2017-12-11,159724.56,2634267594.52
15059.6,15783.2,13031.0,14839.98,2017-12-10,201620.09,2904037859.64
14843.42,16313.18,13151.47,16048.18,2017-12-09,181979.81,2699876215.33
16047.61,17294.85,13906.1,16867.98,2017-12-08,286762.02,4546014731.58
16850.31,16879.26,13401.61,13750.09,2017-12-07,297108.66,4510225316.19
13749.57,13843.2,11661.76,11667.13,2017-12-06,191576.66,2437037791.81
11667.13,11901.87,11486.13,11624.37,2017-12-05,89687.21,1048839303.8
11623.91,11624.63,10917.81,11244.2,2017-12-04,93173.9,1057859226.18
11246.21,11851.09,10578.43,10912.72,2017-12-03,122125.7,1380012064.12
10912.73,11175.23,10715.55,10861.47,2017-12-02,86825.51,950474241.58
10861.47,10942.8,9420.93,9947.08,2017-12-01,131918.85,1353669597.43
9946.76,10689.06,9023.77,9848.05,2017-11-30,187008.87,1836210107.31
9837.86,11417.84,8938.7,9906.04,2017-11-29,233325.32,2418792360.6
9906.04,9969.58,9638.2,9732.63,2017-11-28,87754.89,865328615.73
9733.2,9733.61,9316.84,9318.42,2017-11-27,106902.79,1025175619.87
9318.42,9474.62,8746.56,8754.62,2017-11-26,85891.98,782499976.71
8754.69,8761.98,8153.7,8203.45,2017-11-25,84670.41,718483679.6
8200.8,8332.94,7900.17,8013.38,2017-11-24,72994.63,595710405.8
8013.41,8266.55,8012.35,8234.5,2017-11-23,68010.7,555465146.26
8234.55,8304.37,8091.63,8099.92,2017-11-22,65811.68,539697375.37
8099.97,8368.36,7819.06,8245.87,2017-11-21,115454.28,938345413.24
8244.69,8294.12,7947.28,8042.64,2017-11-20,75703.64,617354329.03
8042.64,8100.87,7675.41,7781.02,2017-11-19,68618.85,541391321.61
7780.91,7857.52,7458.9,7699.95,2017-11-18,74382.12,571121111.0
7699.95,8000.19,7534.7,7853.68,2017-11-17,117347.03,917599923.24
7853.68,7964.64,7119.17,7283.02,2017-11-16,133937.8,1010130763.21
7283.22,7330.06,6596.94,6597.06,2017-11-15,131120.23,922959468.47
6597.06,6728.59,6419.18,6522.45,2017-11-14,96502.09,634604991.54
6522.45,6760.15,5828.34,5878.09,2017-11-13,178340.89,1135256036.03
5878.13,6490.53,5493.64,6339.87,2017-11-12,269832.87,1629165385.9
6339.86,6821.5,6197.87,6565.8,2017-11-11,135719.07,878096915.35
6565.8,7318.97,6406.05,7129.59,2017-11-10,222001.18,1513421266.51
7129.59,7457.12,7040.83,7444.36,2017-11-09,126769.9,915963933.06
7444.36,7869.1,7026.97,7102.23,2017-11-08,220224.38,1632547465.88
7102.75,7222.37,6957.8,6959.27,2017-11-07,101044.57,716798409.14
6959.23,7429.7,6934.73,7389.55,2017-11-06,159688.48,1148125488.89
7389.55,7599.44,7284.33,7363.8,2017-11-05,105727.2,789287755.18
7363.8,7492.24,6957.84,7146.98,2017-11-04,106602.67,773371754.85
7152.12,7445.62,6938.93,7024.81,2017-11-03,154886.75,1120978013.29
7024.81,7339.91,6737.77,6737.78,2017-11-02,238796.19,1663170039.86
6737.78,6738.74,6355.0,6449.1,2017-11-01,133191.93,869798619.79
6451.24,6467.2,6090.83,6124.28,2017-10-31,101249.62,637838767.02
6124.28,6226.18,6018.97,6147.7,2017-10-30,78624.31,481600502.95
6147.52,6295.43,5679.37,5726.61,2017-10-29,163055.75,966990808.93
5726.61,5871.04,5654.8,5764.56,2017-10-28,53232.17,305611140.99
