"Date","Price","Open","High","Low","Change %"
"Jan 05, 2018","16,758.0","15,159.0","16,795.0","14,769.0","10.54"
"Jan 04, 2018","15,160.0","15,150.0","15,390.0","14,064.0","0.03"
"Jan 03, 2018","15,155.0","14,713.0","15,428.0","14,522.0","3.03"
"Jan 02, 2018","14,709.8","13,448.0","15,300.0","12,810.0","10.15"
"Jan 01, 2018","13,354.0","13,794.0","13,893.0","12,787.0","-3.23"
"Dec 31, 2017","13,800.0","12,385.0","14,140.0","12,183.9","11.5"
"Dec 30, 2017","12,377.0","14,308.0","14,403.0","11,690.0","-13.55"
"Dec 29, 2017","14,317.0","14,323.0","15,105.0","13,847.0","0.01"
"Dec 28, 2017","14,315.0","15,374.0","15,467.0","13,232.0","-6.89"
"Dec 27, 2017","15,374.0","15,680.0","16,494.0","14,463.0","-1.95"
"Dec 26, 2017","15,679.0","13,627.0","16,048.0","13,550.0","15.09"
"Dec 25, 2017","13,623.0","13,517.0","14,278.0","12,678.0","1.09"
"Dec 24, 2017","13,476.0","14,036.0","14,047.0","11,601.2","-3.98"
"Dec 23, 2017","14,035.0","13,173.0","14,986.0","12,755.0","6.57"
"Dec 22, 2017","13,170.0","15,650.0","15,826.0","10,718.0","-15.94"
"Dec 21, 2017","15,666.8","16,433.0","17,333.0","14,827.0","-4.62"
"Dec 20, 2017","16,425.0","17,340.0","17,709.0","15,500.0","-5.3"
"Dec 19, 2017","17,345.0","18,931.0","18,987.0","16,500.0","-8.39"
"Dec 18, 2017","18,934.0","18,959.0","19,171.0","18,010.0","-0.2"
"Dec 17, 2017","18,971.0","19,210.0","19,891.0","18,622.0","-1.13"
"Dec 16, 2017","19,187.0","17,569.5","19,548.0","17,098.0","9.5"
"Dec 15, 2017","17,522.0","16,396.0","18,098.0","16,352.0","6.95"
"Dec 14, 2017","16,383.0","16,122.0","16,999.0","15,870.0","1.25"
"Dec 13, 2017","16,181.0","17,010.0","17,288.0","15,674.0","-4.63"
"Dec 12, 2017","16,967.0","16,754.0","17,500.0","16,234.0","1.27"
"Dec 11, 2017","16,754.0","14,937.0","17,443.0","14,937.0","11.72"
"Dec 10, 2017","14,997.0","14,660.0","15,728.0","12,748.0","2.3"
"Dec 09, 2017","14,660.0","15,829.0","16,300.0","13,021.0","-7.62"
"Dec 08, 2017","15,869.0","16,608.0","17,160.0","13,774.0","-4.41"
"Dec 07, 2017","16,601.0","13,500.0","16,639.0","13,154.0","22.72"
"Dec 06, 2017","13,527.0","11,590.0","13,598.0","11,590.0","16.66"
"Dec 05, 2017","11,595.0","11,611.0","11,949.0","11,414.0","0"
"Dec 04, 2017","11,595.0","11,162.0","11,598.0","10,788.0","3.93"
"Dec 03, 2017","11,157.0","10,880.0","11,842.0","10,299.0","2.54"
"Dec 02, 2017","10,881.0","10,852.0","11,187.0","10,627.0","0.11"
"Dec 01, 2017","10,869.0","9,907.0","10,949.0","9,370.1","9.71"
"Nov 30, 2017","9,907.0","9,771.9","10,540.0","8,821.0","1.62"
"Nov 29, 2017","9,749.4","9,891.9","11,427.2","9,001.1","-1.5"
"Nov 28, 2017","9,898.0","9,727.1","9,977.8","9,608.3","1.74"
"Nov 27, 2017","9,728.8","9,303.9","9,760.7","9,268.9","4.43"
"Nov 26, 2017","9,316.0","8,791.0","9,495.0","8,769.2","6.27"
"Nov 25, 2017","8,766.2","8,191.6","8,770.0","8,132.9","7.01"
"Nov 24, 2017","8,191.6","7,977.0","8,350.7","7,873.0","2.69"
"Nov 23, 2017","7,977.1","8,230.0","8,267.6","7,977.1","-3.07"
"Nov 22, 2017","8,230.1","8,097.3","8,310.0","8,064.3","1.64"
"Nov 21, 2017","8,097.3","8,245.1","8,380.0","7,790.0","-1.79"
"Nov 20, 2017","8,245.1","8,052.8","8,310.2","7,943.4","2.37"
"Nov 19, 2017","8,054.2","7,770.6","8,126.9","7,652.0","3.61"
"Nov 18, 2017","7,773.3","7,674.1","7,867.0","7,419.5","1.24"
"Nov 17, 2017","7,677.9","7,865.0","8,029.8","7,511.1","-2.37"
"Nov 16, 2017","7,864.2","7,273.7","8,012.9","7,099.9","8.05"
"Nov 15, 2017","7,278.3","6,589.9","7,310.2","6,589.9","10.63"
"Nov 14, 2017","6,579.2","6,476.5","6,687.8","6,315.4","1.62"
"Nov 13, 2017","6,474.6","5,806.5","6,680.0","5,786.1","11.21"
"Nov 12, 2017","5,822.1","6,282.4","6,465.0","5,426.0","-7.6"
"Nov 11, 2017","6,300.7","6,541.2","6,788.0","6,166.0","-3.69"
"Nov 10, 2017","6,542.2","7,123.3","7,313.1","6,405.2","-8.2"
"Nov 09, 2017","7,126.2","7,447.0","7,447.0","7,017.6","-4.25"
"Nov 08, 2017","7,442.4","7,102.0","7,895.0","7,029.9","4.77"
"Nov 07, 2017","7,103.3","6,959.6","7,214.4","6,959.0","2.13"
"Nov 06, 2017","6,955.0","7,355.1","7,429.5","6,915.1","-5.78"
"Nov 05, 2017","7,382.0","7,370.9","7,595.0","7,272.0","0.18"
"Nov 04, 2017","7,369.0","7,104.0","7,521.1","6,936.5","1.24"
"Nov 03, 2017","7,278.4","7,018.9","7,447.5","6,926.5","3.68"
"Nov 02, 2017","7,019.9","6,735.0","7,315.1","6,724.5","4.35"
"Nov 01, 2017","6,727.3","6,450.2","6,727.3","6,348.0","4.17"
"Oct 31, 2017","6,458.3","6,129.9","6,472.1","6,082.7","5.44"
"Oct 30, 2017","6,125.3","6,146.0","6,237.2","6,010.0","-0.5"
"Oct 29, 2017","6,156.0","5,718.1","6,330.0","5,662.9","7.61"
"Oct 28, 2017","5,720.6","5,759.8","5,863.9","5,634.7","-0.68"
"Oct 27, 2017","5,759.6","5,890.0","6,010.2","5,681.2","-2.21"
"Oct 26, 2017","5,890.0","5,724.2","5,966.6","5,680.5","2.97"
"Oct 25, 2017","5,720.0","5,509.9","5,743.9","5,367.9","3.82"
"Oct 24, 2017","5,509.5","5,902.5","5,902.5","5,457.5","-6.73"
"Oct 23, 2017","5,906.9","5,980.5","6,051.0","5,639.8","-1.23"
"Oct 22, 2017","5,980.5","6,005.1","6,069.6","5,717.9","-0.41"
"Oct 21, 2017","6,005.1","5,984.9","6,190.0","5,873.6","0.34"
"Oct 20, 2017","5,984.5","5,694.0","6,082.2","5,606.4","5.1"
"Oct 19, 2017","5,694.0","5,574.8","5,741.0","5,505.8","2.32"
"Oct 18, 2017","5,565.0","5,597.7","5,597.9","5,114.3","-0.57"
"Oct 17, 2017","5,597.1","5,764.8","5,779.0","5,511.0","-2.9"
"Oct 16, 2017","5,764.4","5,712.2","5,803.2","5,570.4","1.15"
"Oct 15, 2017","5,698.6","5,838.7","5,876.9","5,450.0","-2.34"
"Oct 14, 2017","5,835.0","5,636.8","5,854.3","5,567.3","3.52"
"Oct 13, 2017","5,636.8","5,440.0","5,874.3","5,376.0","3.84"
"Oct 12, 2017","5,428.5","4,824.9","5,437.6","4,815.1","12.51"
"Oct 11, 2017","4,824.9","4,777.7","4,879.5","4,715.0","1"
"Oct 10, 2017","4,777.0","4,782.3","4,940.0","4,717.5","-0.11"
"Oct 09, 2017","4,782.3","4,612.4","4,874.9","4,551.3","3.67"
"Oct 08, 2017","4,613.1","4,435.9","4,630.0","4,417.6","3.99"
"Oct 07, 2017","4,436.0","4,370.0","4,477.1","4,316.1","1.49"
"Oct 06, 2017","4,371.0","4,312.6","4,424.5","4,294.0","1.29"
"Oct 05, 2017","4,315.4","4,215.9","4,364.6","4,134.9","2.38"
"Oct 04, 2017","4,215.1","4,310.6","4,353.8","4,177.7","-2.23"
"Oct 03, 2017","4,311.1","4,399.3","4,439.9","4,222.0","-2.02"
"Oct 02, 2017","4,400.1","4,404.3","4,482.0","4,359.8","-0.1"
"Oct 01, 2017","4,404.3","4,366.6","4,420.5","4,257.7","0.85"
"Sep 30, 2017","4,367.0","4,168.1","4,393.4","4,160.1","4.73"
"Sep 29, 2017","4,169.9","4,190.0","4,244.6","4,024.7","-0.48"
"Sep 28, 2017","4,190.0","4,207.5","4,268.6","4,125.0","-0.37"
"Sep 27, 2017","4,205.4","3,881.6","4,226.5","3,878.1","8.41"
"Sep 26, 2017","3,879.1","3,930.0","3,983.0","3,850.9","-1.3"
"Sep 25, 2017","3,930.0","3,654.7","3,977.0","3,654.7","7.59"
"Sep 24, 2017","3,652.8","3,779.6","3,781.3","3,620.0","-3.35"
"Sep 23, 2017","3,779.6","3,598.7","3,808.0","3,559.1","5.03"
"Sep 22, 2017","3,598.5","3,597.3","3,743.6","3,493.5","-0.14"
"Sep 21, 2017","3,603.4","3,875.5","3,903.7","3,564.4","-6.97"
"Sep 20, 2017","3,873.2","3,892.2","4,048.0","3,834.1","-0.69"
"Sep 19, 2017","3,900.0","4,084.4","4,110.0","3,836.2","-4.51"
"Sep 18, 2017","4,084.1","3,667.0","4,113.9","3,667.0","11.4"
"Sep 17, 2017","3,666.3","3,680.1","3,775.9","3,476.3","-0.52"
"Sep 16, 2017","3,685.4","3,697.1","3,874.0","3,511.1","-0.34"
"Sep 15, 2017","3,698.0","3,237.4","3,809.0","2,981.0","14.2"
"Sep 14, 2017","3,238.1","3,850.2","3,917.2","3,206.2","-15.89"
"Sep 13, 2017","3,849.7","4,149.4","4,159.6","3,734.0","-7.08"
"Sep 12, 2017","4,142.9","4,198.9","4,378.4","4,055.5","-1.43"
"Sep 11, 2017","4,203.0","4,234.9","4,373.1","4,123.0","-0.69"
"Sep 10, 2017","4,232.1","4,315.4","4,325.0","3,975.8","-1.99"
"Sep 09, 2017","4,317.9","4,304.0","4,381.2","4,159.4","0.28"
"Sep 08, 2017","4,305.8","4,613.5","4,686.2","4,107.1","-6.67"
"Sep 07, 2017","4,613.5","4,594.6","4,672.8","4,465.3","0.53"
"Sep 06, 2017","4,589.1","4,375.0","4,631.4","4,361.4","4.9"
"Sep 05, 2017","4,374.9","4,210.6","4,469.9","3,900.1","4.15"
"Sep 04, 2017","4,200.4","4,599.2","4,606.0","4,056.5","-8.59"
"Sep 03, 2017","4,595.0","4,534.2","4,699.8","4,331.0","1.34"
"Sep 02, 2017","4,534.4","4,911.8","4,969.0","4,400.5","-7.55"
"Sep 01, 2017","4,904.9","4,718.3","4,927.4","4,660.7","3.96"
"Aug 31, 2017","4,718.2","4,567.9","4,749.9","4,567.9","3.27"
"Aug 30, 2017","4,569.0","4,586.6","4,641.1","4,481.1","-0.39"
"Aug 29, 2017","4,587.1","4,385.1","4,644.2","4,336.7","4.64"
"Aug 28, 2017","4,383.8","4,330.7","4,395.2","4,175.7","1.2"
"Aug 27, 2017","4,331.8","4,340.2","4,405.7","4,305.0","-0.23"
"Aug 26, 2017","4,341.7","4,351.5","4,364.0","4,243.6","-0.23"
"Aug 25, 2017","4,351.5","4,324.1","4,461.2","4,277.4","0.61"
"Aug 24, 2017","4,325.2","4,135.0","4,370.8","4,093.0","4.75"
"Aug 23, 2017","4,129.1","4,086.9","4,248.6","4,055.9","1.35"
"Aug 22, 2017","4,074.0","3,998.9","4,140.0","3,600.0","1.79"
"Aug 21, 2017","4,002.5","4,066.3","4,093.5","3,956.4","-1.52"
"Aug 20, 2017","4,064.3","4,145.0","4,192.0","4,040.9","-1.95"
"Aug 19, 2017","4,145.1","4,088.2","4,184.1","3,920.0","1.34"
"Aug 18, 2017","4,090.2","4,269.7","4,359.0","3,957.0","-3.99"
"Aug 17, 2017","4,260.0","4,386.4","4,489.1","4,178.1","-2.88"
"Aug 16, 2017","4,386.3","4,160.0","4,403.6","3,928.1","5.65"
"Aug 15, 2017","4,151.9","4,321.0","4,430.0","3,841.9","-3.88"
"Aug 14, 2017","4,319.5","4,061.6","4,330.3","3,969.3","6.57"
"Aug 13, 2017","4,053.3","3,866.2","4,183.7","3,836.1","4.86"
"Aug 12, 2017","3,865.5","3,643.4","3,965.4","3,590.0","6.08"
"Aug 11, 2017","3,644.1","3,404.7","3,690.6","3,380.0","6.93"
"Aug 10, 2017","3,407.9","3,340.2","3,444.4","3,310.0","2.04"
"Aug 09, 2017","3,339.9","3,415.0","3,424.4","3,236.8","-2.2"
"Aug 08, 2017","3,415.0","3,395.0","3,482.9","3,343.8","0.54"
"Aug 07, 2017","3,396.7","3,232.5","3,440.0","3,190.0","5.23"
"Aug 06, 2017","3,227.9","3,255.0","3,309.8","3,156.0","-0.88"
"Aug 05, 2017","3,256.4","2,860.0","3,331.9","2,855.0","13.86"
"Aug 04, 2017","2,860.0","2,790.3","2,874.8","2,762.6","2.5"
"Aug 03, 2017","2,790.3","2,702.0","2,813.0","2,698.0","3.27"
"Aug 02, 2017","2,702.0","2,733.8","2,757.8","2,640.0","-1.07"
"Aug 01, 2017","2,731.2","2,854.3","2,901.6","2,615.8","-4.37"
"Jul 31, 2017","2,856.0","2,748.9","2,883.5","2,694.8","3.89"
"Jul 30, 2017","2,749.0","2,713.7","2,756.2","2,595.0","1.29"
"Jul 29, 2017","2,714.1","2,784.8","2,794.2","2,662.6","-2.54"
"Jul 28, 2017","2,784.8","2,664.6","2,819.9","2,655.5","4.5"
"Jul 27, 2017","2,664.9","2,527.7","2,682.2","2,511.0","5.51"
"Jul 26, 2017","2,525.7","2,560.9","2,612.0","2,404.6","-1.37"
"Jul 25, 2017","2,560.9","2,769.7","2,790.1","2,435.7","-7.54"
"Jul 24, 2017","2,769.7","2,750.1","2,812.0","2,707.3","0.81"
"Jul 23, 2017","2,747.5","2,845.7","2,875.7","2,656.2","-3.45"
"Jul 22, 2017","2,845.7","2,659.0","2,912.9","2,642.8","6.82"
"Jul 21, 2017","2,664.0","2,874.5","2,874.5","2,615.0","-6.73"
"Jul 20, 2017","2,856.3","2,253.3","2,919.9","2,253.3","26.77"
"Jul 19, 2017","2,253.1","2,302.2","2,399.9","2,214.2","-2.13"
"Jul 18, 2017","2,302.1","2,220.0","2,380.2","2,139.8","3.74"
"Jul 17, 2017","2,219.0","1,925.0","2,223.3","1,924.1","15.28"
"Jul 16, 2017","1,924.9","1,979.7","2,048.8","1,835.8","-2.71"
"Jul 15, 2017","1,978.6","2,206.5","2,210.1","1,975.7","-10.27"
"Jul 14, 2017","2,205.1","2,329.4","2,345.6","2,138.0","-5.32"
"Jul 13, 2017","2,329.0","2,375.6","2,400.0","2,293.8","-1.91"
"Jul 12, 2017","2,374.4","2,285.6","2,394.0","2,195.8","4.04"
"Jul 11, 2017","2,282.1","2,318.3","2,372.8","2,183.3","-1.56"
"Jul 10, 2017","2,318.3","2,477.9","2,498.1","2,240.0","-6.44"
"Jul 09, 2017","2,478.0","2,542.0","2,555.6","2,473.7","-2.52"
"Jul 08, 2017","2,542.0","2,479.3","2,542.6","2,436.8","2.53"
"Jul 07, 2017","2,479.3","2,593.2","2,598.0","2,447.0","-4.39"
"Jul 06, 2017","2,593.1","2,598.6","2,603.3","2,546.0","-0.21"
"Jul 05, 2017","2,598.5","2,579.9","2,617.6","2,482.5","0.62"
"Jul 04, 2017","2,582.6","2,525.9","2,628.0","2,512.4","2.32"
"Jul 03, 2017","2,524.0","2,445.1","2,584.0","2,416.2","3.23"
"Jul 02, 2017","2,445.0","2,346.2","2,470.0","2,302.0","4.06"
"Jul 01, 2017","2,349.5","2,420.6","2,440.9","2,291.0","-2.94"
"Jun 30, 2017","2,420.7","2,472.4","2,511.1","2,406.6","-2"
"Jun 29, 2017","2,470.1","2,518.2","2,537.0","2,424.1","-1.91"
"Jun 28, 2017","2,518.2","2,521.3","2,561.1","2,403.2","-0.12"
"Jun 27, 2017","2,521.2","2,393.5","2,524.0","2,208.1","5.29"
"Jun 26, 2017","2,394.6","2,480.0","2,510.4","2,258.7","-3.35"
"Jun 25, 2017","2,477.7","2,502.6","2,595.0","2,369.1","-0.99"
"Jun 24, 2017","2,502.6","2,674.9","2,700.0","2,454.1","-6.44"
"Jun 23, 2017","2,674.9","2,672.8","2,725.3","2,652.8","0.08"
"Jun 22, 2017","2,672.8","2,624.4","2,709.0","2,554.8","1.97"
"Jun 21, 2017","2,621.2","2,715.3","2,760.0","2,573.3","-3.36"
"Jun 20, 2017","2,712.2","2,585.0","2,779.6","2,568.2","5.09"
"Jun 19, 2017","2,580.8","2,494.9","2,592.7","2,481.4","3.58"
"Jun 18, 2017","2,491.5","2,610.1","2,635.0","2,421.0","-4.54"
"Jun 17, 2017","2,610.0","2,435.5","2,636.9","2,368.7","7.1"
"Jun 16, 2017","2,437.0","2,377.5","2,480.0","2,261.2","2.51"
"Jun 15, 2017","2,377.4","2,394.3","2,455.0","2,050.0","-0.74"
"Jun 14, 2017","2,395.0","2,677.1","2,720.0","2,284.4","-10.51"
"Jun 13, 2017","2,676.4","2,570.0","2,730.0","2,532.6","4.07"
"Jun 12, 2017","2,571.8","2,941.8","2,961.9","2,298.2","-12.41"
"Jun 11, 2017","2,936.3","2,806.0","3,000.0","2,793.8","4.64"
"Jun 10, 2017","2,806.0","2,809.9","2,890.5","2,750.8","-0.11"
"Jun 09, 2017","2,809.0","2,781.5","2,849.8","2,769.6","0.97"
"Jun 08, 2017","2,782.1","2,642.0","2,789.3","2,570.1","5.28"
"Jun 07, 2017","2,642.6","2,844.6","2,850.0","2,600.2","-7.07"
"Jun 06, 2017","2,843.6","2,636.9","2,896.5","2,620.0","7.87"
"Jun 05, 2017","2,636.2","2,488.2","2,637.5","2,480.0","5.95"
"Jun 04, 2017","2,488.2","2,461.6","2,498.0","2,376.4","1.11"
"Jun 03, 2017","2,461.0","2,405.9","2,481.0","2,348.0","2.29"
"Jun 02, 2017","2,405.9","2,312.0","2,407.8","2,271.9","4.08"
"Jun 01, 2017","2,311.6","2,191.8","2,366.7","2,187.4","5.46"
"May 31, 2017","2,191.8","2,147.3","2,240.1","2,002.1","2.1"
"May 30, 2017","2,146.7","2,207.4","2,263.1","2,080.4","-2.75"
"May 29, 2017","2,207.4","2,056.9","2,249.8","1,990.1","7.33"
"May 28, 2017","2,056.6","1,980.0","2,193.0","1,955.5","4.27"
"May 27, 2017","1,972.3","2,125.9","2,207.9","1,810.0","-7.29"
"May 26, 2017","2,127.3","2,268.1","2,477.0","2,008.7","-5.54"
"May 25, 2017","2,252.0","2,392.6","2,689.0","2,142.1","-5.96"
"May 24, 2017","2,394.8","2,250.0","2,443.8","2,247.7","6.47"
"May 23, 2017","2,249.3","2,087.5","2,262.9","2,060.0","7.85"
"May 22, 2017","2,085.5","2,026.5","2,219.9","1,979.2","2.77"
"May 21, 2017","2,029.2","2,059.3","2,099.1","2,001.0","-1.48"
"May 20, 2017","2,059.7","1,966.5","2,072.2","1,963.6","4.74"
"May 19, 2017","1,966.5","1,941.5","2,000.0","1,925.0","1.29"
"May 18, 2017","1,941.5","1,870.0","1,949.9","1,861.0","3.82"
"May 17, 2017","1,870.0","1,786.2","1,892.9","1,766.4","4.72"
"May 16, 2017","1,785.7","1,772.0","1,795.1","1,728.0","0.74"
"May 15, 2017","1,772.5","1,826.8","1,828.5","1,720.0","-3.04"
"May 14, 2017","1,828.1","1,820.6","1,852.4","1,780.0","0.42"
"May 13, 2017","1,820.4","1,735.0","1,824.0","1,666.0","4.92"
"May 12, 2017","1,735.0","1,853.9","1,864.8","1,700.8","-6.41"
"May 11, 2017","1,853.9","1,796.9","1,908.0","1,766.6","3.18"
"May 10, 2017","1,796.8","1,759.8","1,817.4","1,722.3","2.09"
"May 09, 2017","1,760.0","1,703.5","1,813.9","1,695.1","3.33"
"May 08, 2017","1,703.2","1,619.8","1,715.0","1,618.9","5.14"
"May 07, 2017","1,619.9","1,597.0","1,631.3","1,575.1","1.43"
"May 06, 2017","1,597.1","1,545.1","1,605.0","1,545.0","3.37"
"May 05, 2017","1,545.1","1,607.2","1,665.5","1,511.7","-3.86"
"May 04, 2017","1,607.1","1,619.4","1,701.9","1,521.1","-0.66"
"May 03, 2017","1,617.8","1,558.5","1,626.9","1,542.0","3.71"
"May 02, 2017","1,560.0","1,533.0","1,604.6","1,479.2","1.75"
"May 01, 2017","1,533.1","1,435.0","1,560.0","1,432.0","6.82"
"Apr 30, 2017","1,435.2","1,425.4","1,443.5","1,403.3","0.81"
"Apr 29, 2017","1,423.6","1,415.6","1,436.6","1,401.5","0.57"
"Apr 28, 2017","1,415.6","1,440.3","1,447.0","1,368.3","-1.71"
"Apr 27, 2017","1,440.3","1,399.3","1,449.7","1,392.5","2.93"
"Apr 26, 2017","1,399.3","1,371.0","1,411.7","1,365.1","2.12"
"Apr 25, 2017","1,370.3","1,345.0","1,378.5","1,342.1","1.88"
"Apr 24, 2017","1,345.0","1,355.3","1,359.6","1,326.9","-0.75"
"Apr 23, 2017","1,355.2","1,346.4","1,359.0","1,336.0","0.57"
"Apr 22, 2017","1,347.5","1,327.1","1,353.1","1,290.1","1.65"
"Apr 21, 2017","1,325.6","1,308.7","1,333.1","1,307.5","1.31"
"Apr 20, 2017","1,308.4","1,260.5","1,325.7","1,260.1","3.8"
"Apr 19, 2017","1,260.5","1,265.4","1,272.0","1,255.0","-0.39"
"Apr 18, 2017","1,265.4","1,240.0","1,274.8","1,237.0","2.05"
"Apr 17, 2017","1,240.0","1,212.5","1,247.0","1,202.2","2.31"
"Apr 16, 2017","1,212.0","1,193.3","1,217.6","1,190.4","1.57"
"Apr 15, 2017","1,193.3","1,206.8","1,215.0","1,190.0","-1.12"
"Apr 14, 2017","1,206.8","1,187.0","1,219.1","1,184.0","1.67"
"Apr 13, 2017","1,187.0","1,227.4","1,235.1","1,163.5","-3.29"
"Apr 12, 2017","1,227.4","1,236.9","1,239.0","1,221.0","-0.66"
"Apr 11, 2017","1,235.6","1,220.3","1,243.4","1,209.1","1.25"
"Apr 10, 2017","1,220.3","1,215.9","1,229.9","1,208.1","0.36"
"Apr 09, 2017","1,215.9","1,188.1","1,226.9","1,180.2","2.34"
"Apr 08, 2017","1,188.1","1,196.6","1,202.6","1,171.3","-0.71"
"Apr 07, 2017","1,196.6","1,191.5","1,208.9","1,176.7","0.43"
"Apr 06, 2017","1,191.5","1,140.3","1,206.4","1,140.3","4.46"
"Apr 05, 2017","1,140.6","1,145.8","1,146.7","1,112.3","-0.38"
"Apr 04, 2017","1,145.0","1,150.1","1,161.9","1,124.1","-0.45"
"Apr 03, 2017","1,150.2","1,107.8","1,159.9","1,107.8","3.85"
"Apr 02, 2017","1,107.6","1,093.5","1,118.2","1,081.0","1.32"
"Apr 01, 2017","1,093.2","1,081.3","1,106.9","1,070.2","1.06"
"Mar 31, 2017","1,081.7","1,042.1","1,089.4","1,041.0","3.91"
"Mar 30, 2017","1,041.0","1,041.7","1,053.5","1,022.2","-0.08"
"Mar 29, 2017","1,041.8","1,044.7","1,058.9","1,009.3","-0.28"
"Mar 28, 2017","1,044.7","1,042.8","1,066.5","1,016.8","0.19"
"Mar 27, 2017","1,042.7","968.9","1,046.9","960.1","7.61"
"Mar 26, 2017","969","971.3","1,005.5","950.1","-0.33"
"Mar 25, 2017","972.2","942.1","980","891","3.08"
"Mar 24, 2017","943.1","1,032.7","1,034.2","928.3","-8.7"
"Mar 23, 2017","1,033.0","1,039.4","1,055.0","1,018.0","-0.59"
"Mar 22, 2017","1,039.1","1,115.9","1,116.0","986.3","-6.81"
"Mar 21, 2017","1,115.0","1,040.4","1,120.9","1,040.1","7.31"
"Mar 20, 2017","1,039.0","1,016.5","1,052.1","1,011.2","2.25"
"Mar 19, 2017","1,016.1","971.9","1,058.9","971","4.64"
"Mar 18, 2017","971","1,067.8","1,097.1","935.1","-9.12"
"Mar 17, 2017","1,068.4","1,169.1","1,169.6","1,066.0","-8.61"
"Mar 16, 2017","1,169.0","1,256.1","1,259.7","1,132.5","-6.93"
"Mar 15, 2017","1,256.1","1,245.0","1,262.0","1,241.3","0.89"
"Mar 14, 2017","1,245.0","1,238.5","1,257.9","1,218.9","0.52"
"Mar 13, 2017","1,238.5","1,224.4","1,246.9","1,207.5","1.09"
"Mar 12, 2017","1,225.2","1,172.4","1,232.6","1,167.5","4.47"
"Mar 11, 2017","1,172.8","1,113.5","1,196.1","1,107.0","5.32"
"Mar 10, 2017","1,113.6","1,190.4","1,328.8","971","-6.45"
"Mar 09, 2017","1,190.4","1,150.0","1,207.5","1,136.0","3.58"
"Mar 08, 2017","1,149.3","1,232.4","1,243.6","1,142.2","-6.74"
"Mar 07, 2017","1,232.4","1,279.2","1,281.8","1,185.9","-3.67"
"Mar 06, 2017","1,279.3","1,278.4","1,287.8","1,268.6","0.07"
"Mar 05, 2017","1,278.4","1,267.8","1,279.8","1,245.3","0.84"
"Mar 04, 2017","1,267.8","1,289.1","1,291.8","1,240.1","-1.58"
"Mar 03, 2017","1,288.2","1,257.6","1,294.7","1,256.6","2.05"
"Mar 02, 2017","1,262.3","1,232.9","1,283.1","1,213.0","2.39"
"Mar 01, 2017","1,232.8","1,189.1","1,233.5","1,186.0","3.68"
"Feb 28, 2017","1,189.1","1,196.0","1,216.0","1,177.8","-0.54"
"Feb 27, 2017","1,195.5","1,178.3","1,202.6","1,171.0","1.46"
"Feb 26, 2017","1,178.3","1,153.0","1,185.9","1,130.9","2.19"
"Feb 25, 2017","1,153.0","1,185.4","1,189.9","1,131.5","-2.71"
"Feb 24, 2017","1,185.1","1,189.9","1,222.2","1,111.1","-0.49"
"Feb 23, 2017","1,190.9","1,125.5","1,196.9","1,120.4","5.83"
"Feb 22, 2017","1,125.3","1,129.6","1,140.0","1,106.4","-0.38"
"Feb 21, 2017","1,129.6","1,091.3","1,134.0","1,085.0","3.52"
"Feb 20, 2017","1,091.2","1,056.2","1,100.3","1,044.1","3.31"
"Feb 19, 2017","1,056.2","1,059.8","1,066.0","1,045.0","-0.34"
"Feb 18, 2017","1,059.8","1,056.2","1,071.1","1,053.1","0.34"
"Feb 17, 2017","1,056.2","1,038.5","1,065.8","1,034.1","1.71"
"Feb 16, 2017","1,038.4","1,013.9","1,045.7","1,013.9","2.43"
"Feb 15, 2017","1,013.8","1,013.3","1,017.3","1,002.4","0.01"
"Feb 14, 2017","1,013.7","996.5","1,019.0","988.9","1.73"
"Feb 13, 2017","996.5","996","1,004.5","975.9","0.05"
"Feb 12, 2017","996","1,000.1","1,005.4","992.3","-0.43"
"Feb 11, 2017","1,000.3","992.1","1,009.0","984.2","0.84"
"Feb 10, 2017","992","985","1,002.0","949.4","0.71"
"Feb 09, 2017","985","1,049.0","1,078.0","936.4","-6.09"
"Feb 08, 2017","1,048.8","1,052.5","1,068.0","1,013.2","-0.31"
"Feb 07, 2017","1,052.1","1,022.6","1,056.3","1,021.7","2.88"
"Feb 06, 2017","1,022.6","1,006.6","1,026.2","1,006.0","1.59"
