"Date","Price","Open","High","Low","Change %"
"Feb 05, 2017","1,006.6","1,031.1","1,033.0","996.3","-2.38"
"Feb 04, 2017","1,031.1","1,016.8","1,040.0","1,001.6","1.52"
"Feb 03, 2017","1,015.7","1,007.0","1,020.5","988.3","0.99"
"Feb 02, 2017","1,005.7","983.7","1,010.5","970.1","2.23"
"Feb 01, 2017","983.7","966.2","985","960.1","1.82"
"Jan 31, 2017","966.2","917.4","969.4","916.8","5.32"
"Jan 30, 2017","917.4","912.5","920.8","910","0.53"
"Jan 29, 2017","912.6","919.4","923","910.7","-0.75"
"Jan 28, 2017","919.4","916.7","924","915","0.3"
"Jan 27, 2017","916.7","915.1","922.2","905","0.17"
"Jan 26, 2017","915.1","893.3","917.6","893.3","2.44"
"Jan 25, 2017","893.3","886.1","899.6","884.2","0.82"
"Jan 24, 2017","886.1","908.4","927","884.2","-2.63"
"Jan 23, 2017","910","923.7","928.8","910","-1.48"
"Jan 22, 2017","923.7","924","939.7","892","-0.03"
