Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-10-25,5564.2,5775.22,5441.56,5768.91,4.12482,23083.9644019,5596.35678694
2017-10-24,5818.05,5874.45,5509.55,5554.93,4.20967081,23966.0510992,5693.09387382
2017-10-23,5982.63,6028.7,5780.07,5883.44,20.98736469,123192.973357,5869.86385268
2017-10-22,5973.9,6035.73,5828.01,5973.72,15.83662584,93921.5940003,5930.6568804
2017-10-21,5959.97,6190.39,5918.03,6026.65,9.06150918,54563.8940334,6021.50182156
2017-10-20,5702.55,5948.19,5637.11,5879.97,21.84258032,126678.032443,5799.59100927
2017-10-19,5574.63,5727.33,5530.0,5684.48,21.81560065,124329.028234,5699.08801638
2017-10-18,5593.17,5598.06,5115.71,5566.88,3.6160642,19574.7678377,5413.27995164
2017-10-17,5746.65,5753.15,5534.28,5600.0,3.02127,17028.4538273,5636.19068382
2017-10-16,5693.72,5759.14,5588.48,5746.65,3.1156,17699.6841432,5680.98733573
2017-10-15,5820.14,5846.47,5460.43,5689.9,3.15253885,17736.318818,5626.04290126
2017-10-14,5619.99,5832.11,5581.37,5801.95,3.20940278,18203.4112408,5671.89987939
2017-10-13,5439.64,5850.1,5394.04,5612.49,3.36920284,18925.9686242,5617.34318859
