Price,High,Low,Open,Date,Volumefrom,Volumeto
73.73,74.69,63.29,68.89,2017-09-05,1992004.89,137991645.49
68.89,79.06,62.97,79.04,2017-09-04,2825457.07,197880261.54
79.04,84.07,74.95,79.18,2017-09-03,1569976.63,124890039.97
79.18,93.67,73.29,87.88,2017-09-02,3196898.62,260187395.34
87.88,92.77,71.5,73.03,2017-09-01,3815830.4,316464574.14
73.03,74.59,65.12,65.97,2017-08-31,1850032.75,129559211.64
65.97,66.57,61.86,63.76,2017-08-30,829751.02,52584713.02
63.76,64.2,61.17,62.36,2017-08-29,930398.05,58218596.89
62.36,64.95,58.87,61.08,2017-08-28,1318375.9,81891911.78
61.08,64.49,51.37,51.58,2017-08-27,2047430.31,121485913.49
51.58,52.13,50.09,51.09,2017-08-26,433091.45,22089859.98
51.09,52.3,49.78,50.36,2017-08-25,605527.97,30861268.58
50.36,53.58,50.34,53.44,2017-08-24,1089289.29,56389670.39
53.44,55.43,46.05,46.4,2017-08-23,1634534.74,83643726.31
46.4,48.1,44.85,48.09,2017-08-22,611195.45,28209467.68
48.09,48.94,45.27,45.81,2017-08-21,640039.35,30030772.48
45.81,47.39,44.07,45.19,2017-08-20,384435.33,17689808.36
45.19,46.89,43.39,46.74,2017-08-19,457998.6,20514354.21
46.74,47.92,43.23,43.83,2017-08-18,888951.07,40574149.41
43.83,44.74,43.13,43.97,2017-08-17,425047.05,18733697.25
43.97,44.94,42.1,43.17,2017-08-16,509014.15,22142597.97
43.17,45.8,41.78,45.7,2017-08-15,780853.12,33786160.33
45.7,46.56,45.15,45.49,2017-08-14,426212.9,19459261.19
45.49,47.43,44.0,46.27,2017-08-13,766715.89,35331475.85
46.27,47.77,46.0,47.11,2017-08-12,556583.31,26154345.14
47.11,47.62,46.63,46.97,2017-08-11,448579.01,21086959.55
46.97,48.68,46.97,47.78,2017-08-10,392052.42,18788211.76
47.78,50.2,46.9,49.13,2017-08-09,745195.68,36171405.47
49.13,49.93,45.69,46.11,2017-08-08,806041.04,38124611.66
46.11,46.7,45.21,45.56,2017-08-07,432033.81,19821566.26
45.56,46.88,45.16,46.24,2017-08-06,447306.19,20509678.36
46.24,47.23,43.21,43.31,2017-08-05,880132.49,40240694.24
43.31,43.77,42.41,42.75,2017-08-04,377407.48,16242345.85
42.75,43.18,41.8,41.92,2017-08-03,329595.07,14029809.38
41.92,43.19,41.66,43.16,2017-08-02,474729.29,20133705.4
43.16,43.93,41.11,42.38,2017-08-01,932670.29,39690704.66
42.38,43.57,38.45,40.61,2017-07-31,893892.82,36896252.79
40.61,42.05,39.82,41.07,2017-07-30,363404.03,14790620.65
41.07,41.4,38.55,40.43,2017-07-29,544633.83,21624892.79
40.43,42.19,40.17,41.89,2017-07-28,616859.99,25261842.08
41.89,42.41,40.89,42.03,2017-07-27,487374.16,20292493.77
42.03,43.09,40.47,42.3,2017-07-26,591939.55,24636676.71
42.3,45.05,40.52,44.77,2017-07-25,1002897.84,42446216.08
44.77,45.28,43.85,44.67,2017-07-24,446798.44,20003120.61
44.67,46.67,43.63,46.47,2017-07-23,625908.97,28134127.54
46.47,47.11,44.88,45.2,2017-07-22,499635.51,22979927.34
45.2,47.31,43.99,44.35,2017-07-21,1121739.77,51397779.3
44.35,45.23,40.11,40.11,2017-07-20,1420088.03,61701476.23
40.11,43.77,39.82,43.35,2017-07-19,988347.66,41443140.56
43.35,44.84,40.74,42.17,2017-07-18,1322076.05,57140834.57
42.17,42.98,39.91,40.7,2017-07-17,1442921.42,60156241.78
40.7,41.81,35.49,38.41,2017-07-16,1693715.76,65293460.2
38.41,42.68,37.7,42.46,2017-07-15,1402645.69,55602665.51
42.46,45.96,39.96,45.69,2017-07-14,1243452.92,53012174.19
45.69,47.66,44.07,47.14,2017-07-13,740592.9,33745880.89
47.14,48.38,42.4,43.98,2017-07-12,1314367.81,60143698.56
43.98,46.69,41.84,45.0,2017-07-11,1506683.17,66201265.45
45.0,49.66,42.68,48.63,2017-07-10,1438096.31,66471287.02
48.63,52.4,48.32,51.22,2017-07-09,861130.65,43087563.54
51.22,52.11,44.33,46.1,2017-07-08,1293429.49,62095488.7
46.1,51.18,44.47,51.04,2017-07-07,1745425.55,82111789.69
51.04,52.98,49.79,52.92,2017-07-06,840271.42,42796216.44
52.92,56.58,49.11,54.51,2017-07-05,1864947.31,97598572.29
54.51,54.82,45.34,45.34,2017-07-04,2676871.93,136045162.56
45.34,47.56,40.36,41.26,2017-07-03,1833533.57,82237199.37
41.26,41.65,36.87,38.08,2017-07-02,682570.75,26758013.34
38.08,39.7,37.12,39.48,2017-07-01,520504.4,19837650.46
39.48,41.22,39.29,40.13,2017-06-30,521878.48,20906005.14
40.13,41.94,39.45,41.89,2017-06-29,638781.54,25918352.3
41.89,43.1,37.95,40.24,2017-06-28,1169845.97,47463923.08
40.24,40.24,34.19,38.53,2017-06-27,1403159.72,51972842.18
38.53,42.21,34.43,41.28,2017-06-26,1779942.06,67058517.29
41.28,44.02,39.33,42.7,2017-06-25,986926.56,40946994.36
42.7,46.09,42.04,46.0,2017-06-24,804547.36,35158428.47
46.0,46.98,45.48,46.16,2017-06-23,522043.52,24046249.47
46.16,47.91,43.21,44.5,2017-06-22,982111.44,44885019.4
44.5,46.75,42.85,45.68,2017-06-21,1206561.46,53663961.39
45.68,48.32,43.29,47.37,2017-06-20,1491973.88,68659918.63
47.37,50.14,42.45,43.8,2017-06-19,2886672.05,134413488.82
43.8,45.81,39.49,45.8,2017-06-18,2478772.85,106024449.1
45.8,47.7,34.12,34.12,2017-06-17,5016967.39,204842940.54
34.12,34.18,28.32,29.29,2017-06-16,1710350.24,53638308.12
29.29,29.79,25.45,29.19,2017-06-15,1544855.21,42738176.25
29.19,31.81,27.96,30.38,2017-06-14,1375707.32,40744168.59
30.38,30.61,28.74,28.98,2017-06-13,762018.85,22434912.48
28.98,33.7,27.09,33.63,2017-06-12,1885099.56,55552187.1
33.63,34.43,29.65,30.06,2017-06-11,1650413.18,52704206.81
30.06,30.31,29.39,29.54,2017-06-10,810634.63,24059480.26
29.54,30.63,29.51,29.9,2017-06-09,731241.68,21986499.42
29.9,30.39,27.8,28.47,2017-06-08,852555.85,24919274.36
28.47,30.57,27.88,30.07,2017-06-07,874974.15,25712956.1
30.07,31.19,28.32,30.78,2017-06-06,1441633.22,42992959.08
30.78,31.62,27.85,27.89,2017-06-05,1365183.65,40548644.2
27.89,27.93,26.86,27.27,2017-06-04,577995.32,15762467.44
27.27,28.56,26.81,28.27,2017-06-03,615398.94,16824195.81
28.27,28.65,26.78,27.55,2017-06-02,813270.71,22513588.19
27.55,29.61,25.77,25.91,2017-06-01,1823401.75,49800957.2
25.91,25.99,23.51,23.89,2017-05-31,1021629.99,25232341.83
23.89,26.33,23.54,25.33,2017-05-30,1156827.3,28996976.43
