Price,High,Low,Open,Date,Volumefrom,Volumeto
0.5963,0.7187,0.5583,0.6068,2017-07-17,117394.14,70002.13
0.5201,0.641,0.4422,0.6265,2017-07-16,149249.35,77624.59
0.6464,0.9283,0.573,0.7533,2017-07-15,272652.9,176242.83
0.8521,1.55,0.8521,0.9366,2017-07-14,1123487.67,957323.84
0.9903,1.38,0.4749,0.4869,2017-07-13,479860.1,475205.46
0.4953,0.5847,0.4287,0.5131,2017-07-12,93078.83,46101.94
0.4962,0.5346,0.3835,0.4528,2017-07-11,55096.69,27338.98
0.4566,0.5058,0.4006,0.4927,2017-07-10,69520.05,31742.85
0.5279,0.5776,0.4382,0.4973,2017-07-09,100046.23,52814.4
0.5078,0.5617,0.4899,0.5371,2017-07-08,76457.36,38825.05
0.5264,0.7039,0.4776,0.7036,2017-07-07,128954.81,67881.81
0.7317,0.8303,0.6013,0.6248,2017-07-06,383787.02,280816.96
0.6281,0.6514,0.4733,0.5045,2017-07-05,126367.9,79371.68
0.5025,0.5232,0.4449,0.497,2017-07-04,56135.82,28208.25
0.4885,0.4916,0.4296,0.4859,2017-07-03,56580.75,27639.7
0.4791,0.4794,0.4185,0.4279,2017-07-02,45140.95,21627.03
0.409,0.4607,0.3908,0.4195,2017-07-01,64711.34,26466.94
0.4291,0.4765,0.3855,0.3994,2017-06-30,70549.73,30272.89
0.4119,0.4605,0.385,0.3963,2017-06-29,88054.16,36269.51
0.3993,0.5155,0.3501,0.415,2017-06-28,104601.87,41767.53
0.416,0.4183,0.3333,0.4082,2017-06-27,53333.42,22186.7
0.3865,0.4178,0.3637,0.3867,2017-06-26,48728.65,18833.62
0.4018,0.4344,0.3965,0.4089,2017-06-25,28028.89,11262.01
0.4167,0.538,0.3453,0.4439,2017-06-24,129696.01,54044.33
0.4646,0.6098,0.4066,0.4163,2017-06-23,207282.1,96303.26
0.4182,0.642,0.2848,0.3235,2017-06-22,551537.34,230652.92
0.3181,0.3625,0.2286,0.2286,2017-06-21,132876.3,42267.95
0.2352,0.251,0.2045,0.251,2017-06-20,54904.28,12913.49
0.2384,0.2489,0.2334,0.2489,2017-06-19,26175.98,6240.35
0.2415,0.2628,0.2286,0.2445,2017-06-18,27929.15,6744.89
0.2557,0.2603,0.2391,0.2559,2017-06-17,29481.47,7538.41
0.2418,0.2694,0.2258,0.2369,2017-06-16,28008.52,6772.46
0.2307,0.2809,0.2191,0.2472,2017-06-15,37016.71,8539.75
0.2497,0.2973,0.19,0.1961,2017-06-14,75689.5,18899.67
0.2157,0.2308,0.2118,0.2243,2017-06-13,32783.69,7071.44
0.2197,0.2281,0.2074,0.224,2017-06-12,21398.33,4701.21
0.2507,0.2955,0.2351,0.2952,2017-06-11,41869.21,10496.61
0.2879,0.3089,0.2879,0.3016,2017-06-10,14847.99,4274.74
0.2924,0.3188,0.2532,0.3093,2017-06-09,25305.79,7399.41
0.3079,0.3359,0.3079,0.3359,2017-06-08,5634.19,1734.77
0.323,0.3499,0.2753,0.3014,2017-06-07,32127.36,10377.14
0.3215,0.3419,0.2383,0.2802,2017-06-06,83778.01,26934.63
0.2641,0.3589,0.2329,0.238,2017-06-05,139756.13,36909.59
0.2221,0.2221,0.1793,0.1794,2017-06-04,33693.29,7483.28
0.1809,0.2053,0.1808,0.1987,2017-06-03,30220.09,5466.81
0.1946,0.2221,0.1596,0.172,2017-06-02,31237.56,6078.83
0.1665,0.1665,0.1531,0.1595,2017-06-01,38264.75,6371.08
0.1523,0.1606,0.1523,0.1536,2017-05-31,27168.52,4137.77
0.1462,0.1702,0.1462,0.1558,2017-05-30,41277.15,6034.72
0.1618,0.1631,0.1509,0.1574,2017-05-29,23637.74,3824.59
0.1513,0.1627,0.1468,0.158,2017-05-28,9500.7,1437.46
0.1482,0.1719,0.1355,0.1702,2017-05-27,33675.85,4990.76
0.1861,0.1991,0.1677,0.1991,2017-05-26,42064.64,7828.23
0.2047,0.2466,0.1502,0.1687,2017-05-25,253050.33,51799.4
0.1788,0.2005,0.1738,0.2004,2017-05-24,63097.59,11281.85
0.1863,0.2045,0.1709,0.1783,2017-05-23,42482.03,7914.4
0.1667,0.1855,0.1521,0.162,2017-05-22,51611.44,8603.63
0.1558,0.2044,0.1555,0.1625,2017-05-21,51048.31,7953.33
0.1622,0.1646,0.1429,0.1431,2017-05-20,41178.2,6679.1
0.1376,0.1444,0.1295,0.1411,2017-05-19,45681.31,6285.75
0.1353,0.143,0.1336,0.1351,2017-05-18,18377.01,2486.41
0.1293,0.154,0.1263,0.1453,2017-05-17,24028.91,3106.94
0.1395,0.1603,0.1382,0.1544,2017-05-16,31505.88,4395.07
0.1525,0.1711,0.1393,0.1711,2017-05-15,26202.07,3995.82
0.1774,0.1891,0.149,0.1891,2017-05-14,49739.37,8823.76
0.1882,0.1882,0.1461,0.1734,2017-05-13,29666.48,5583.23
0.1658,0.1662,0.126,0.1298,2017-05-12,22170.36,3675.85
0.14,0.1757,0.1319,0.142,2017-05-11,57269.05,8017.67
0.1368,0.1437,0.109,0.1276,2017-05-10,41088.29,5620.88
0.1236,0.15,0.1061,0.15,2017-05-09,46144.49,5703.46
0.1471,0.1615,0.1326,0.1496,2017-05-08,27648.48,4067.09
0.1397,0.1568,0.1292,0.1568,2017-05-07,66411.28,9277.66
0.1559,0.1638,0.146,0.163,2017-05-06,27604.81,4303.59
0.1591,0.1606,0.1432,0.1579,2017-05-05,54522.51,8674.53
0.1588,0.1793,0.1426,0.1793,2017-05-04,79953.32,12696.59
0.1756,0.1784,0.1618,0.1634,2017-05-03,59150.52,10386.83
0.1591,0.175,0.1442,0.175,2017-05-02,68215.24,10853.04
0.1713,0.1841,0.1628,0.1699,2017-05-01,25692.81,4401.18
0.1622,0.1891,0.1541,0.161,2017-04-30,106342.58,17248.77
0.1592,0.1604,0.147,0.1543,2017-04-29,49654.73,7905.03
0.1536,0.1694,0.1396,0.1613,2017-04-28,88159.08,13541.23
0.1617,0.1829,0.14,0.1767,2017-04-27,59652.44,9645.8
0.1706,0.1866,0.1647,0.1653,2017-04-26,20244.96,3453.79
0.1625,0.1754,0.1518,0.1694,2017-04-25,56107.48,9117.47
0.1673,0.1849,0.1504,0.1646,2017-04-24,75516.15,12633.85
0.1648,0.1799,0.1646,0.169,2017-04-23,56129.55,9250.15
0.1679,0.1922,0.1613,0.1638,2017-04-22,71537.93,12011.22
0.165,0.165,0.1189,0.164,2017-04-21,129787.75,21414.98
0.1624,0.2154,0.1486,0.1944,2017-04-20,144487.95,23464.84
0.1908,0.2153,0.1506,0.1643,2017-04-19,208730.63,39825.8
0.1631,0.1847,0.1227,0.1429,2017-04-18,149937.7,24454.84
0.1415,0.1493,0.1134,0.1327,2017-04-17,134665.83,19055.21
0.1307,0.1558,0.1189,0.152,2017-04-16,210278.96,27483.46
0.1521,0.1979,0.1232,0.1979,2017-04-15,503656.63,76606.17
0.1979,0.2472,0.1766,0.2178,2017-04-14,252215.73,49913.49
0.2176,0.2916,0.1553,0.2329,2017-04-13,499735.81,108742.51
0.2401,0.376,0.1548,0.1761,2017-04-12,718614.23,172539.28
0.1773,0.2014,0.1099,0.1151,2017-04-11,245247.72,43482.42
0.1138,0.1389,0.07747,0.09621,2017-04-10,241362.55,27467.06
0.09602,0.1006,0.07068,0.09033,2017-04-09,58707.88,5637.13
0.08856,0.08856,0.07249,0.07773,2017-04-08,35260.81,3122.7
0.07837,0.0853,0.06357,0.07326,2017-04-07,133472.82,10460.26
0.07315,0.1057,0.05079,0.05782,2017-04-06,277218.98,20278.57
0.05496,0.05524,0.0477,0.05421,2017-04-05,31017.81,1704.74
0.05478,0.06421,0.04567,0.06074,2017-04-04,160809.43,8809.14
0.06105,0.08521,0.051,0.051,2017-04-03,159314.92,9726.18
0.04877,0.06121,0.04085,0.04824,2017-04-02,178142.35,8688.0
0.04775,0.06062,0.03897,0.05463,2017-04-01,88176.52,4210.43
0.05428,0.07857,0.04934,0.06475,2017-03-31,93178.39,5057.72
0.06227,0.07058,0.03893,0.04205,2017-03-30,191699.52,11937.13
0.04221,0.05204,0.0336,0.03647,2017-03-29,183575.55,7748.72
0.03655,0.04166,0.02611,0.03447,2017-03-28,184556.67,6745.55
0.03449,0.05252,0.03149,0.04523,2017-03-27,333480.23,11501.73
0.04196,0.05235,0.0291,0.03819,2017-03-26,292868.71,12288.77
0.03806,0.05315,0.01332,0.02928,2017-03-25,880548.64,33513.68
0.02847,0.08645,0.02821,0.05272,2017-03-24,823123.67,23434.33
